Fournisseur,Code,Prix,Durée,Début,Fin,Catégorie,Zone,Camp Mina,Capacité,Places restantes (pas à jour),Date d'ajout,Nombre de guides, pélerins par guide,lien Nusuk
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z1000,15950.07,27,2024-05-28,2024-06-24,Standard,Zone D,AlMuaisim Camp,116,108,2024-02-27T14:35:26.9107111,8,15,https://hajj.nusuk.sa/sp/package/summary/8c120000-56b2-0050-0199-08dc37a15707
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z2000,15950.07,25,2024-05-30,2024-06-24,Standard,Zone D,AlMuaisim Camp,68,63,2024-02-27T14:40:17.8805289,5,15,https://hajj.nusuk.sa/sp/package/summary/383f0000-56b2-0050-7a1c-08dc37a20475
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z3000,15950.07,23,2024-06-01,2024-06-24,Standard,Zone D,AlMuaisim Camp,68,61,2024-02-27T14:07:39.0123623,7,10,https://hajj.nusuk.sa/sp/package/summary/38340000-56b2-0050-ea5c-08dc379d74e1
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z4000,15950.07,21,2024-06-03,2024-06-24,Standard,Zone D,AlMuaisim Camp,20,18,2024-02-27T14:45:24.9237648,2,10,https://hajj.nusuk.sa/sp/package/summary/24330000-56b2-0050-8e79-08dc37a2bb78
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z5000,15950.07,19,2024-06-05,2024-06-24,Standard,Zone C,AlMuaisim Camp,60,54,2024-02-27T13:55:27.1906125,6,10,https://hajj.nusuk.sa/sp/package/summary/343a0000-56b2-0050-c73a-08dc379bc0ae
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z7000,15950.07,16,2024-06-07,2024-06-23,Standard,Zone D,AlMuaisim Camp,8,7,2024-02-27T13:47:26.313313,1,8,https://hajj.nusuk.sa/sp/package/summary/442b0000-56b2-0050-b9bc-08dc379aa20e
Al Bait Guests for Pilgrims Services,Z11000 Al Bait Gustes,15950.07,22,2024-06-10,2024-07-02,Standard,Zone D,AlMuaisim Camp,60,54,2024-02-27T13:15:28.1152325,6,10,https://hajj.nusuk.sa/sp/package/summary/cc240000-56b2-0050-ed36-08dc37962ab8
MCDC For Hajj And Umrah servises,MCDC9075JN,19777.0,14,2024-06-07,2024-06-21,Standard,Zone D,AlMuaisim Camp,32,31,2024-02-25T19:36:43.0764252,1,32,https://hajj.nusuk.sa/sp/package/summary/88190000-56b2-0050-80ca-08dc3639186f
MCDC For Hajj And Umrah servises,MCDC8888JN,19888.0,14,2024-06-07,2024-06-21,Standard,Zone C,AlMuaisim Camp,20,19,2024-02-27T01:14:25.3166088,1,20,https://hajj.nusuk.sa/sp/package/summary/383f0000-56b2-0050-bdfc-08dc37317015
Ithraa alkhair for pilgrims services,Ithraa Al Khair 52,19990.0,15,2024-06-10,2024-06-25,Standard,Zone A,AlMuaisim Camp,92,90,2024-02-15T18:11:45.9368199,2,50,https://hajj.nusuk.sa/sp/package/summary/98060000-56b2-0050-3905-08dc2e51922c
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,3Standard Value 2,19999.99,17,2024-06-07,2024-06-24,Standard,Zone D,AlMuaisim Camp,94,92,2024-02-23T21:21:31.4663278,2,48,https://hajj.nusuk.sa/sp/package/summary/c8220000-56b2-0050-2763-08dc34b567c8
Ithraa alkhair for pilgrims services,Ithraa Al Khair 62,20999.99,15,2024-06-10,2024-06-25,Standard,Zone A,AlMuaisim Camp,32,31,2024-02-21T21:32:59.7472148,1,32,https://hajj.nusuk.sa/sp/package/summary/d4950000-56b2-0050-fb85-08dc3324ad33
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Standard Value 2,21798.79,14,2024-06-10,2024-06-24,Standard,Zone D,AlMuaisim Camp,83,81,2024-02-23T21:10:43.518945,2,48,https://hajj.nusuk.sa/sp/package/summary/6c280000-56b2-0050-3ab8-08dc34b3e593
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Standard Value 2,21798.79,17,2024-06-07,2024-06-24,Standard,Zone D,AlMuaisim Camp,353,345,2024-02-16T10:59:56.5618044,8,48,https://hajj.nusuk.sa/sp/package/summary/b4820000-56b2-0050-1773-08dc2ede6965
Ithraa alkhair for pilgrims services,Ithraa Al Khair 51,21824.65,15,2024-06-10,2024-06-25,Standard,Zone A,AlMuaisim Camp,160,158,2024-02-10T13:40:54.581595,2,100,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-7585-08dc2a3de78b
Ithraa alkhair for pilgrims services,Ithraa Al Khair 48,21995.05,17,2024-06-07,2024-06-24,Standard,Zone C,AlMuaisim Camp,96,94,2024-02-10T14:44:04.8611258,2,48,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-37a5-08dc2a46baba
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury shifting Line 9,22210.0,25,2024-05-28,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,17,16,2024-02-23T13:26:38.6299291,1,17,https://hajj.nusuk.sa/sp/package/summary/c8220000-56b2-0050-598b-08dc347310ba
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 9,22210.0,25,2024-05-28,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,402,394,2024-02-23T12:17:38.735217,8,51,https://hajj.nusuk.sa/sp/package/summary/607b0000-56b2-0050-8c66-08dc34696d28
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 20,22400.81,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,47,46,2024-02-14T16:20:29.2459365,1,47,https://hajj.nusuk.sa/sp/package/summary/446e0000-56b2-0050-4b58-08dc2d78dc24
Ithraa alkhair for pilgrims services,Ithraa Al Khair 46,22532.13,17,2024-06-07,2024-06-24,Standard,Zone C,AlMuaisim Camp,84,82,2024-02-10T13:36:32.0442919,2,50,https://hajj.nusuk.sa/sp/package/summary/dc950000-56b2-0050-720c-08dc2a3d4b0f
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,4Luxury Line Shifting 21,22543.24,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,11,10,2024-02-24T18:17:50.0082038,1,11,https://hajj.nusuk.sa/sp/package/summary/e0280000-56b2-0050-db58-08dc3564e8e4
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Line Shifting 21,22543.52,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,16,15,2024-02-24T06:27:49.7696818,1,16,https://hajj.nusuk.sa/sp/package/summary/e0280000-56b2-0050-5226-08dc3501b92c
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,3 Luxury Line Shifting 21,22543.52,19,2024-06-09,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,110,108,2024-02-23T18:52:44.1587834,2,55,https://hajj.nusuk.sa/sp/package/summary/c8220000-56b2-0050-2073-08dc34a09eb1
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 22,22544.11,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,141,138,2024-02-14T16:26:59.4845742,3,48,https://hajj.nusuk.sa/sp/package/summary/2c490000-56b2-0050-fc1e-08dc2d79c4bd
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Shifting 8,22904.08,27,2024-05-28,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,230,225,2024-02-23T12:12:00.2925047,5,48,https://hajj.nusuk.sa/sp/package/summary/58470000-56b2-0050-49f5-08dc3468a36e
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 8,22904.08,25,2024-05-28,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,338,331,2024-02-22T21:40:48.379864,7,49,https://hajj.nusuk.sa/sp/package/summary/28580000-56b2-0050-666f-08dc33eeeef1
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 17,22909.72,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,428,419,2024-02-14T16:06:21.406416,9,48,https://hajj.nusuk.sa/sp/package/summary/48ab0000-56b2-0050-4014-08dc2d76e2ca
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 19,22909.72,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,46,45,2024-02-14T16:17:29.9250746,1,46,https://hajj.nusuk.sa/sp/package/summary/2c490000-56b2-0050-1a28-08dc2d787142
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 304,22958.55,24,2024-06-02,2024-06-26,Standard,Zone D,AlMuaisim Camp,264,258,2024-02-17T17:01:14.0714918,6,46,https://hajj.nusuk.sa/sp/package/summary/ec530000-56b2-0050-5184-08dc2fda0c9c
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 305,22958.55,21,2024-06-05,2024-06-26,Standard,Zone D,AlMuaisim Camp,204,199,2024-02-18T08:34:08.0116384,5,46,https://hajj.nusuk.sa/sp/package/summary/ac7e0000-56b2-0050-c687-08dc305c5fad
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 306,22958.55,17,2024-06-08,2024-06-25,Standard,Zone D,AlMuaisim Camp,196,191,2024-02-16T14:13:45.8320612,5,46,https://hajj.nusuk.sa/sp/package/summary/68590000-56b2-0050-e8cf-08dc2ef97cfa
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 307,22958.55,20,2024-06-05,2024-06-25,Standard,Zone D,AlMuaisim Camp,62,61,2024-02-19T12:38:15.5025087,1,62,https://hajj.nusuk.sa/sp/package/summary/5c3b0000-56b2-0050-42bb-08dc3147a4ad
Rawaf Mina Company for Pilgrimage Services,RAWAF AL SAFA 333,22958.55,19,2024-06-02,2024-06-21,Standard,Zone D,AlMuaisim Camp,172,168,2024-02-25T23:36:23.8505784,4,46,https://hajj.nusuk.sa/sp/package/summary/ac1b0000-56b2-0050-7f26-08dc365a940b
Rawaf Mina Company for Pilgrimage Services,RAWAF ALSAFA 312,22958.55,18,2024-06-05,2024-06-23,Standard,Zone D,AlMuaisim Camp,240,234,2024-02-19T12:24:00.6217318,6,46,https://hajj.nusuk.sa/sp/package/summary/185c0000-56b2-0050-ce45-08dc3145a720
Rawaf Mina Company for Pilgrimage Services,RAWAF AL SAFA 386,22962.04,22,2024-06-08,2024-06-30,Standard,Zone D,AlMuaisim Camp,8,7,2024-02-27T15:59:21.9291168,1,8,https://hajj.nusuk.sa/sp/package/summary/38340000-56b2-0050-d815-08dc37ad1021
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 18,23053.02,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-14T16:12:55.7571349,2,48,https://hajj.nusuk.sa/sp/package/summary/446e0000-56b2-0050-6502-08dc2d77cdd7
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Standard Value 1,23388.83,17,2024-06-07,2024-06-24,Standard,Zone D,AlMuaisim Camp,457,448,2024-02-16T10:41:31.3119213,9,51,https://hajj.nusuk.sa/sp/package/summary/60060000-56b2-0050-57e3-08dc2edbd69d
Ithraa alkhair for pilgrims services,Ithraa Al Khair 64,23576.01,22,2024-06-02,2024-06-24,Standard,Zone C,AlMuaisim Camp,60,59,2024-02-22T02:05:16.3660439,1,60,https://hajj.nusuk.sa/sp/package/summary/28360000-56b2-0050-3093-08dc334ab696
MCDC For Hajj And Umrah servises,MCDC3020JN,24081.98,16,2024-06-10,2024-06-26,Standard,Zone C,AlMuaisim Camp,48,47,2024-02-17T18:43:45.8152761,1,48,https://hajj.nusuk.sa/sp/package/summary/10130000-56b2-0050-ed0c-08dc2fe85f55
MCDC For Hajj And Umrah servises,MCDC1114AZ,24599.45,14,2024-06-07,2024-06-21,Standard,Zone D,AlMuaisim Camp,48,47,2024-02-18T11:06:12.3450971,1,48,https://hajj.nusuk.sa/sp/package/summary/24410000-56b2-0050-9251-08dc30719e34
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 21,24634.95,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-24T08:01:27.5082148,2,48,https://hajj.nusuk.sa/sp/package/summary/0c290000-56b2-0050-319c-08dc350ecd9b
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 387,24930.93,22,2024-06-04,2024-06-26,Standard,Zone D,AlMuaisim Camp,16,15,2024-02-28T11:49:09.5290336,1,16,https://hajj.nusuk.sa/sp/package/summary/983f0000-56b2-0050-21dc-08dc38534675
Rawaf Mina Company for Pilgrimage Services,RAWAF LEGEND 310,24938.41,20,2024-06-02,2024-06-22,Standard,Zone D,AlMuaisim Camp,176,172,2024-02-19T11:32:00.5758923,4,46,https://hajj.nusuk.sa/sp/package/summary/fc3a0000-56b2-0050-97b9-08dc313e636f
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOOR 301,24939.9,20,2024-06-02,2024-06-22,Standard,Zone D,AlMuaisim Camp,40,39,2024-02-17T16:52:36.7900466,1,40,https://hajj.nusuk.sa/sp/package/summary/10130000-56b2-0050-6f12-08dc2fd8d849
